Name,URL,avatar,feed,category
American Idols,https://redcircle.com/shows/americanidols?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,/images/podcasts/american-idols.jpg,https://feeds.redcircle.com/a45d7c81-336a-43fc-8f84-1410c6d0d819,podcast
Ancient Afterlives,https://podcasters.spotify.com/pod/show/ancientafterlives?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,/images/podcasts/ancient-afterlives.jpg,https://anchor.fm/s/5e43bc9c/podcast/rss,podcast
Bible For Normal People Podcast,https://thebiblefornormalpeople.com/podcast/,/images/sites/thebiblefornormalpeople.png,https://feeds.megaphone.fm/ADL4119301527,podcast
Charismatic Revival Fury: The New Apostolic Reformation,https://icjs.org/charismatic-revival-fury/,/images/podcasts/crharismatic-revival-fury.jpg,https://feeds.redcircle.com/40ace99d-7388-4a73-becb-c7f20c0e51e1,podcast
Classical Ideas Podcast,https://classicalideaspodcast.libsyn.com/,/images/podcasts/classicalideaspodcast.jpg,https://feeds.libsyn.com/103794/rss,podcast
Currents in Religion - Baylor,https://religion.artsandsciences.baylor.edu/,/images/sites/currents-in-religion.jpg,https://anchor.fm/s/baa65a08/podcast/rss,podcast
Data > Dogma,https://podcasts.apple.com/us/podcast/data-over-dogma/id1681418502?ign-itscg=30200&ign-itsct=podcast_box_link,/images/podcasts/data-over-dogma.jpg,https://feeds.megaphone.fm/ARML8571494714,podcast
Feminists Talk Religion,https://www.buzzsprout.com/880843,/images/podcasts/feminists-talk-religion.jpg,https://feeds.buzzsprout.com/880843.rss,podcast
Home Brewed Christianity,https://trippfuller.com/,/images/podcasts/hbx.jpg,https://trippfuller.com/category/podcast/feed/,podcast
Keeping it 101,https://keepingit101.com/,/images/podcasts/keepingit101.jpg,https://feeds.buzzsprout.com/810974.rss,podcast
Madang Podcast,https://www.christiancentury.org/podcast/madang,/images/podcasts/madang.jpg,https://anchor.fm/s/4ead88d0/podcast/rss,podcast
Mapping the Doctrine of Discovery,https://podcast.doctrineofdiscovery.org/,/images/podcasts/mapping-doctrine-of-discovery.png,https://podcast.doctrineofdiscovery.org/feed.xml,podcast
Mark Goodacre,https://podacre.blogspot.com/,/images/podcasts/podacre.png,https://feeds2.feedburner.com/NTPod,podcast
Monster in the Mirror: Christian Nationalism’s Gothic Genesis,https://podcasts.apple.com/us/podcast/monster-in-the-mirror/id1654399705?ign-itscg=30200&ign-itsct=podcast_box_link,/images/podcasts/monster-in-the-mirror.jpg,https://feeds.megaphone.fm/SWAJ1031356531,podcast
New Books in Religion,https://newbooksnetwork.com/category/religion-faith/religion,/images/podcasts/nbn-religion.png,https://feeds.megaphone.fm/LIT9789987066,podcast
New Testament Review,https://soundcloud.com/user-829560134?utm_source=listennotes.com&utm_campaign=Listen+Notes&utm_medium=website,/images/podcasts/ntreview.jpg,https://feeds.soundcloud.com/users/soundcloud:users:439505514/sounds.rss,podcast
On God's Campus,https://www.axismundi.us/on-gods-campus/,/images/podcasts/on-gods-campus.png,https://feeds.redcircle.com/072fa3d8-8cef-44c5-94d6-4f3b18a1ac34,podcast
Pure White,https://www.axismundi.us/pure-white/,/images/podcasts/pure-white.jpg,https://feeds.redcircle.com/7ecd7912-5927-4aa2-a2af-6a50982114d2,podcast
Religion for Breakfast,https://www.youtube.com/@ReligionForBreakfast,/images/podcasts/rfb.jpg,https://www.youtube.com/feeds/videos.xml?channel_id=UCct9aR7HC79Cv2g-9oDOTLw,podcast
Religious Studies Podcast,https://thereligiousstudiespodcast.substack.com/,/images/podcasts/the-religious-studies-podcast.jpg,https://media.zencast.fm/the-religious-studies-podcast/rss,podcast
Religious Studies Project,https://www.religiousstudiesproject.com/,/images/podcasts/religiousstudiesproject.png,https://www.religiousstudiesproject.com/feed/podcast,podcast
Sacred and Profane Podcast,https://religionlab.virginia.edu/season/season-3/,/images/podcasts/sacred-profane.jpg,https://feeds.blubrry.com/feeds/sacred_profane.xml,podcast
Straight White American Jesus,https://www.axismundi.us/straight-white-american-jesus/,/images/podcasts/swaj.jpg,https://feeds.megaphone.fm/PPY9950636314,podcast
Study Religion Podcast,https://religion.ua.edu/about/podcasts/,/images/podcasts/religion-ua.png,https://feeds.soundcloud.com/users/soundcloud:users:292303945/sounds.rss,podcast
The Revealer Podcast,https://therevealer.org/podcasts/,/images/podcasts/r.png,https://storage.bhs.cloud.ovh.net/v1/AUTH_624aabcecfc6462c9bf4d7a8820f9997/22042/feeds/4AN8E.xml?temp_url_sig=80f5d9ebae0c7d905f34fd7c48d8dc47a2ebe07b&temp_url_expires=2029587823&inline,podcast
Weird Religion,https://www.weirdreligion.com/,/images/podcasts/weird-religion.jpg,https://www.weirdreligion.com/seasonone?format=rss,podcast